UFCODE;MUNICODE;MUNINAME;VotesPT.2rnd;VotesPSL.2rnd;VotesNul.2rnd
BA;2919058;Lajedo do Tabocal;3455;754;295
BA;2919108;Lamarão;4325;487;256
BA;2919157;Lapão;12866;2751;628
BA;2919207;Lauro de Freitas;62336;32596;7801
BA;2919306;Lençóis;4376;694;276
BA;2919405;Licínio de Almeida;5119;1643;354
BA;2919504;Livramento de Nossa Senhora;19346;4674;1180
BA;2919553;Luís Eduardo Magalhães;15773;22509;1728
BA;2919603;Macajuba;4457;1319;417
BA;2919702;Macarani;5177;3179;723
BA;2919801;Macaúbas;17824;3933;1216
BA;2919900;Macururé;3676;559;186
BA;2919926;Madre de Deus;9663;2180;576
BA;2919959;Maetinga;2806;1034;267
BA;2920007;Maiquinique;2914;1848;346
BA;2920106;Mairi;7235;1864;643
BA;2920205;Malhada;6556;2121;385
BA;2920304;Malhada de Pedras;4028;1283;245
BA;2920403;Manoel Vitorino;7455;1203;419
BA;2920452;Mansidão;4908;811;156
BA;2920502;Maracás;10867;2804;996
BA;2920601;Maragogipe;19520;3915;1036
BA;2920700;Maraú;6695;1436;554
BA;2920809;Marcionílio Souza;4191;793;272
BA;2920908;Mascote;4133;1457;319
BA;2921005;Mata de São João;21916;6152;2334
BA;2921054;Matina;5915;529;301
BA;2921104;Medeiros Neto;7044;4883;843
BA;2921203;Miguel Calmon;10224;3564;875
BA;2921302;Milagres;4573;1267;357
BA;2921401;Mirangaba;6851;1338;520
BA;2921450;Mirante;4000;842;221
BA;2921500;Monte Santo;25788;2546;1176
BA;2921609;Morpará;3584;1298;189
BA;2921708;Morro do Chapéu;13763;3146;988
BA;2921807;Mortugaba;3645;2549;381
BA;2921906;Mucugê;4574;1575;547
BA;2922003;Mucuri;9901;6847;1018
BA;2922052;Mulungu do Morro;6686;707;363
BA;2922102;Mundo Novo;8149;1637;607
BA;2922201;Muniz Ferreira;4375;1104;286
BA;2922250;Muquém de São Francisco;4952;1071;222
BA;2922300;Muritiba;13169;2693;1014
BA;2922409;Mutuípe;8139;3653;1071
BA;2922508;Nazaré;12299;3186;913
BA;2922607;Nilo Peçanha;4765;1212;537
BA;2922656;Nordestina;5630;933;400
BA;2922706;Nova Canaã;6150;1334;450
BA;2922730;Nova Fátima;3858;1217;365
BA;2922755;Nova Ibiá;2155;1104;224
BA;2922805;Nova Itarana;3042;765;233
BA;2922854;Nova Redenção;3836;369;268
BA;2922904;Nova Soure;12266;1515;663
BA;2923001;Nova Viçosa;10087;8462;1049
BA;2923035;Novo Horizonte;5187;1257;427
BA;2923050;Novo Triunfo;4166;760;230
BA;2923100;Olindina;11325;1485;548
BA;2923209;Oliveira dos Brejinhos;9734;1801;505
BA;2923308;Ouriçangas;3625;694;416
BA;2923357;Ourolândia;6716;2537;517
BA;2923407;Palmas de Monte Alto;10786;1604;587
BA;2923506;Palmeiras;4331;562;210
BA;2923605;Paramirim;9048;1979;528
BA;2923704;Paratinga;13574;2306;592
BA;2923803;Paripiranga;13786;2761;852
BA;2923902;Pau Brasil;3064;1753;239
BA;2924009;Paulo Afonso;45685;12010;2459
BA;2924058;Pé de Serra;5609;2378;508
BA;2924108;Pedrão;3584;378;194
BA;2924207;Pedro Alexandre;5800;623;296
BA;2924306;Piatã;8169;2423;894
BA;2924405;Pilão Arcado;15767;2188;632
BA;2924504;Pindaí;7536;1550;491
BA;2924603;Pindobaçu;7370;2682;600
BA;2924652;Pintadas;3776;2282;343
BA;2924678;Piraí do Norte;3483;1035;349
BA;2924702;Piripá;4032;1282;258
BA;2924801;Piritiba;7142;2054;650
BA;2924900;Planaltino;4010;593;287
BA;2925006;Planalto;9874;3334;1085
BA;2925105;Poções;17322;5524;1404
BA;2925204;Pojuca;14811;4270;1919
BA;2925253;Ponto Novo;6770;1514;513
BA;2925303;Porto Seguro;38222;28354;5661
BA;2925402;Potiraguá;3372;1714;289
BA;2925501;Prado;8143;4946;684
BA;2925600;Presidente Dutra;7605;874;334
BA;2925709;Presidente Jânio Quadros;5414;1081;285
BA;2925758;Presidente Tancredo Neves;9629;3923;1258
BA;2925808;Queimadas;10431;2670;896
BA;2925907;Quijingue;11907;2487;787
BA;2925931;Quixabeira;3693;1660;378
BA;2925956;Rafael Jambeiro;8554;2742;745
BA;2926004;Remanso;18005;3356;980
BA;2926103;Retirolândia;7296;1388;531
BA;2926202;Riachão das Neves;10056;2446;558
BA;2926301;Riachão do Jacuípe;17152;2839;1046
BA;2926400;Riacho de Santana;14886;2105;801
BA;2926509;Ribeira do Amparo;7060;785;384
BA;2926608;Ribeira do Pombal;22235;6955;1404
BA;2926657;Ribeirão do Largo;4022;1167;323
BA;2926707;Rio de Contas;6244;1722;493
BA;2926806;Rio do Antônio;6208;1105;446
BA;2926905;Rio do Pires;4459;1176;326
BA;2927002;Rio Real;14587;4807;1293
BA;2927101;Rodelas;4025;649;181
BA;2927200;Ruy Barbosa;11766;3202;1075
BA;2927309;Salinas da Margarida;7395;1109;523
BA;2927408;Salvador;985532;451273;142824
BA;2927507;Santa Bárbara;10716;2396;647
BA;2927606;Santa Brígida;7110;934;374
BA;2927705;Santa Cruz Cabrália;7788;5186;1029
BA;2927804;Santa Cruz da Vitória;1634;889;217
BA;2927903;Santa Inês;4681;681;280
BA;2928000;Santaluz;16173;4611;1433
BA;2928059;Santa Luzia;3530;1489;298
BA;2928109;Santa Maria da Vitória;15090;4946;1092
BA;2928208;Santana;10309;3825;717
BA;2928307;Santanópolis;4881;751;365
BA;2928406;Santa Rita de Cássia;11482;2968;712
BA;2928505;Santa Teresinha;4715;856;388
BA;2928604;Santo Amaro;28707;4665;2120
BA;2928703;Santo Antônio de Jesus;34032;17154;4474
BA;2928802;Santo Estêvão;23419;4379;1854
BA;2928901;São Desidério;12390;4193;684
BA;2928950;São Domingos;4013;1201;359
BA;2929008;São Félix;6214;1093;391
BA;2929057;São Félix do Coribe;5358;2513;494
BA;2929107;São Felipe;9016;2913;707
BA;2929206;São Francisco do Conde;21780;3204;1479
BA;2929255;São Gabriel;10769;1031;454
BA;2929305;São Gonçalo dos Campos;17663;3953;1395
BA;2929354;São José da Vitória;2134;968;223
BA;2929370;São José do Jacuípe;4467;886;409
BA;2929404;São Miguel das Matas;5137;1324;332
BA;2929503;São Sebastião do Passé;22150;3310;1462
BA;2929602;Sapeaçu;8774;2263;672
BA;2929701;Sátiro Dias;6992;1422;524
