microcode;ufname;microname;brancos02;nulos02;uteis02;pt02;psdb02;brancos06;nulos06;uteis06;pt06;psdb06;brancos10;nulos10;pt10;uteis10;brancos14;nulos14;pt14;uteis14;brancos18;nulos18;pt18;novo18;mdb18;psl18;uteis18
24014;RN;Borborema Potiguar;3138;13235;59240;18951;36066;2320;9439;72407;47541;19022;3100;9433;43368;76675;3462;7973;55447;80501;1882;5825;44460;291;441;17200;81641
24015;RN;Agreste Potiguar;5557;21595;93939;31590;51858;3864;15610;117479;70357;38543;5885;15987;69030;123248;5914;13340;90840;135327;3798;10623;73283;516;995;35040;140840
24016;RN;Litoral Nordeste;2243;6841;33442;12296;17264;1439;4814;42698;25659;13485;2080;5318;25399;46223;2205;4561;35346;50859;1408;4291;29224;153;309;12680;51840
24017;RN;Macaíba;6345;15979;104902;42483;49111;4559;14186;132462;78098;42601;7665;14963;69282;139251;9353;16509;93220;148286;4951;13137;75957;903;1394;50758;161818
24018;RN;Natal;11419;25911;406800;204892;118680;13182;31901;456456;215403;179076;20746;35858;165647;475596;22843;50469;192905;403850;12633;37631;120996;9183;4033;238766;524401
24019;RN;Litoral Sul;3397;10036;51825;23807;21347;2699;7804;64541;42865;15873;3763;7996;37117;67716;3941;7049;45453;72005;2190;5946;42645;275;465;18302;76662
25001;PB;Catolé do Rocha;2187;9002;52100;19960;31907;1750;5740;63243;44678;14553;2363;7061;35963;61884;2185;3676;43679;69790;1545;5979;35496;762;677;16772;69744
25002;PB;Cajazeiras;3895;12688;70934;36530;30821;2609;8470;87173;67177;14939;2852;10578;65815;85695;3351;5729;69957;94298;2083;8118;60538;266;467;13105;97897
25003;PB;Sousa;4421;15638;81594;40191;38474;2770;9907;99928;73407;19519;2980;12153;69910;98645;3014;5567;73976;108767;2558;8191;58548;518;969;22590;109184
25004;PB;Patos;2152;6752;55591;23045;30407;1644;4804;62946;41402;16876;2391;6204;33575;63911;2357;3787;37915;68387;2086;5981;28611;618;682;19549;67720
25005;PB;Piancó;1275;7584;33282;14032;19262;882;4901;39707;28750;8908;1133;5858;24166;37175;1051;2753;27192;40780;830;3661;26219;118;512;7253;41819
25006;PB;Itaporanga;1613;8631;36050;15253;21032;968;5554;43270;33060;7465;1164;6700;31929;42507;1153;3228;34714;48198;910;4402;32344;180;367;7325;48112
25007;PB;Serra do Teixeira;2118;10249;42134;13626;30471;1709;6784;54055;39215;11003;1845;8678;37828;53553;1683;4076;45086;60456;1418;6289;45150;250;398;6948;63256
25008;PB;Seridó Ocidental Paraibano;1109;2846;19696;6667;14169;587;2001;23039;12323;9078;789;2621;10151;22152;862;1386;13516;24118;714;2129;10150;149;265;5181;23456
25009;PB;Seridó Oriental Paraibano;1565;6789;31013;10724;21668;1271;4034;39419;25405;10833;1461;5154;20855;39912;1709;2752;28573;44482;1235;4045;23773;133;510;7969;44250
25010;PB;Cariri Ocidental;2979;10942;52400;18889;32768;1969;7086;65697;47054;14887;2631;9143;44040;64281;2407;4338;51733;72904;1893;6734;45245;339;530;12399;74085
25011;PB;Cariri Oriental;1447;6107;29992;10413;20232;1138;3437;38310;24075;11070;1427;4811;21389;38124;1528;2688;27217;42816;1212;4331;22483;181;406;9357;42836
25012;PB;Curimataú Ocidental;2216;9583;48625;19160;30292;1520;6294;61678;39288;18092;2449;8327;33671;60134;2339;4315;44140;67381;1673;6635;37058;395;725;13082;68321
25013;PB;Curimataú Oriental;1649;8173;38589;17586;22376;1252;5262;47850;28881;15203;1656;6676;25442;45300;1743;3515;31604;48777;1323;4862;29319;331;942;9822;49065
25014;PB;Esperança;1449;3993;22356;10322;12644;892;2564;28153;17878;8201;1709;3579;12039;26690;1539;2288;16498;29778;1249;3643;13852;252;238;8779;30017
25015;PB;Brejo Paraibano;3430;11094;49089;25295;23459;2421;7476;60459;39378;15885;3068;8251;33847;58600;3361;4974;38444;62395;2580;7058;36944;360;726;12505;63153
25016;PB;Guarabira;3604;13409;69370;36553;30446;2874;8640;85773;58079;21979;4351;9871;45356;84216;4547;6090;54076;91081;3416;8850;49760;519;1394;24059;93489
25017;PB;Campina Grande;11851;24089;224377;109003;105218;6804;16867;265916;141310;90840;11942;25295;87499;272842;15797;24827;107412;281882;10371;33449;79710;2496;2644;129387;287204
25018;PB;Itabaiana;3311;10171;47203;22056;24290;1866;6007;57846;41693;12416;2803;7520;36012;57688;2914;4544;42474;63006;2141;6312;37377;236;1230;15674;63792
25019;PB;Umbuzeiro;1415;5733;20468;4512;18001;1056;3370;26956;15271;9030;1258;4281;15001;25753;1263;2233;19617;28864;1060;3311;18807;105;353;4423;29165
25020;PB;Litoral Norte;4097;10821;52481;18856;33714;2585;7531;70120;47891;18171;3473;8909;42845;71410;4320;5183;42441;78674;2959;7972;48619;520;1081;19615;83801
25021;PB;Sapé;3728;10554;52050;26723;22797;2478;7225;67646;49505;14213;3509;8913;42851;67445;3978;5323;49470;74195;3201;7628;47126;256;935;19170;78677
25022;PB;João Pessoa;19783;32377;417291;240339;111244;14669;32406;495571;310682;121575;21066;38467;234771;517996;24411;28619;240519;397216;18918;49747;170102;7712;5265;278229;588135
25023;PB;Litoral Sul;2257;5532;32515;14594;16794;1467;3958;41899;31939;7788;2208;4697;26230;42073;2982;2557;26607;46927;1664;4964;27167;163;584;14525;48366
26001;PE;Araripina;6573;26265;99197;39591;62829;3617;17940;131718;100429;21626;4001;19228;115144;139130;3472;12145;124415;160458;2796;14825;114467;663;844;17970;160087
26002;PE;Salgueiro;3794;11849;61595;28562;32967;2136;8771;75833;56631;15702;1986;8858;67785;79835;2038;5584;66257;89079;1398;7058;65940;343;454;10603;89412
26003;PE;Pajeú;9228;25066;124629;57163;68293;5073;19048;150174;124706;19525;5011;18382;131435;157375;4883;10874;115417;171613;3458;16535;119548;927;730;26480;169065
26004;PE;Sertão do Moxotó;5193;14934;73081;30304;42772;3070;11282;90000;72269;13162;3199;11402;77432;95196;3397;7447;68623;104528;2114;9474;74572;406;496;14699;106441
26005;PE;Petrolina;6977;19558;145624;82498;47746;4946;16770;180804;138615;29690;5047;17414;155240;204146;6026;12378;135401;233254;5211;21803;136268;1733;1196;56514;235295
26006;PE;Itaparica;2690;8493;48193;31648;13701;1398;6563;62348;52317;6939;1345;6921;56148;66112;1345;4562;52823;73085;963;5380;56931;367;302;8864;74265
26007;PE;Vale do Ipanema;4918;19775;56787;16909;45978;2791;12086;75445;59517;11066;2738;12529;60246;76341;2475;7756;60145;84014;1981;9627;62448;249;663;10270;86110
26008;PE;Vale do Ipojuca;28214;52076;305348;122696;192449;21369;40806;380203;261445;93258;27680;42453;261231;400097;27265;32368;219104;439146;18339;53644;213475;3870;2692;126465;437245
26009;PE;Alto Capibaribe;9085;16673;88375;30915;60959;6657;11836;114900;73531;32741;8097;11977;74887;126641;7770;8245;67810;146150;5640;14230;66759;1308;697;50859;149767
26010;PE;Médio Capibaribe;10047;23543;101591;37314;68541;6976;16489;123427;87536;28412;7666;15430;89094;128678;7365;9915;73282;140215;4593;15347;82110;907;752;30043;137503
26011;PE;Garanhuns;12204;34061;160970;73309;93705;7827;25496;201740;164112;29782;8523;24999;161269;207206;8504;16529;151617;223861;6185;23148;147593;1378;1146;41040;226468
26012;PE;Brejo Pernambucano;9511;20809;83625;30722;58033;5111;15294;105190;80077;20387;5926;15223;83979;109158;5761;8906;65891;119382;3782;15646;65817;664;700;28240;115595
26013;PE;Mata Setentrional Pernambucana;17164;33210;219897;100277;97273;12651;25684;261393;185245;60463;14385;26287;166969;276732;17119;17028;115885;296457;9890;33215;152425;1858;1824;89046;289592
26014;PE;Vitória de Santo Antão;8264;13974;84577;31775;50739;5976;10675;104540;71425;26815;7045;11204;68308;110427;7889;7761;45704;120915;4406;15151;55891;719;777;39202;117517
26015;PE;Mata Meridional Pernambucana;14916;34661;205929;88603;94742;9871;26272;249402;188737;44454;11164;27463;186380;257030;13694;14960;116541;274604;8089;29379;155891;1057;1443;63995;262804
26016;PE;Itamaracá;3789;5178;61836;28742;24305;3220;4781;76093;57452;13328;3134;4986;44636;70763;4604;4320;36862;93534;3036;10973;52060;582;585;27579;95042
26017;PE;Recife;62642;83387;1542977;778465;561028;69235;90606;1706187;1118307;407331;79115;99141;845877;1789284;85642;86380;540088;1876571;65701;197125;598690;28345;15790;760272;1810026
26018;PE;Suape;7405;10718;104263;47384;37913;6616;10559;129706;100524;19113;7731;11216;94901;146411;10487;8318;70583;160661;5904;21688;87733;746;982;41781;161238
26019;PE;Fernando de Noronha;23;39;828;599;159;49;79;1241;743;268;72;127;835;1432;101;103;562;1437;71;165;486;31;15;763;1744
27001;AL;Serrana do Sertão Alagoano;1940;6039;32165;9741;18655;1255;5409;38716;28918;5806;1068;5252;33563;39501;1020;4120;33382;40062;715;2599;34370;123;1656;3761;43997
27002;AL;Alagoana do Sertão do São Francisco;1358;4406;28672;13197;11090;1013;3881;35412;24459;6191;1043;3727;29090;36200;949;3364;31899;39900;602;2304;32181;179;1320;5084;43652
27003;AL;Santana do Ipanema;2145;10627;60221;13872;42952;1816;7967;77260;44891;22256;1845;8703;53870;76814;1892;7039;57866;78270;1431;5279;60543;429;2698;12131;85126
27004;AL;Batalha;1508;5698;35152;8387;21742;989;4839;44032;28104;10794;1228;4641;29236;44557;1208;4291;28993;44996;800;3083;32797;299;1512;9506;49486
27005;AL;Palmeira dos Índios;3786;10421;67985;14436;47826;2701;9610;86148;48857;26269;3158;9923;52461;84117;3511;8549;55469;84707;2364;6902;56105;509;2995;19686;90981
27006;AL;Arapiraca;6721;20272;135500;29981;95425;5917;16403;167613;89033;57658;7157;18154;107569;177451;7892;16721;111604;188030;5753;12648;106855;1283;6070;56563;207453
27007;AL;Traipu;677;2556;14484;2840;8885;716;2299;17830;10582;4886;671;2111;11682;16605;495;1638;13056;17106;373;1054;13710;43;672;2497;18725
27008;AL;Serrana dos Quilombos;2905;8996;49205;13625;33147;2318;7957;64575;37548;18783;2951;7954;42049;68218;3558;7315;35157;67174;2251;5598;40651;295;2213;20683;73216
27009;AL;Mata Alagoana;5582;18576;103275;20538;72110;5762;16527;131463;63432;50141;6596;15924;68303;136352;7604;13697;60288;135082;5225;10808;72515;414;5064;46382;145854
27010;AL;Litoral Norte Alagoano;1669;2966;20804;3838;13982;1635;2835;27508;15359;8371;2264;3166;14252;29710;2133;2844;10971;31543;1464;2997;13799;124;1018;14322;33934
27011;AL;Maceió;11512;26290;393855;142169;172706;16684;30203;475607;155010;234251;21274;34837;176278;505719;28733;40556;173878;429755;19809;44045;129170;7124;12726;277885;553632
27012;AL;São Miguel dos Campos;4545;15114;92402;21425;55351;4602;11727;121156;55476;47752;5522;12359;59058;122601;6173;11155;54139;122333;4069;10085;58475;706;4310;45072;129544
27013;AL;Penedo;2948;6052;42466;13702;23031;2612;5358;53395;23493;22901;3044;5193;32433;56234;3022;4945;37107;56508;1836;3663;36076;169;1641;14783;60146
28001;SE;Sergipana do Sertão do São Francisco;2573;10576;57048;22878;29032;1785;7076;74926;36882;28901;2615;6805;47330;79612;2864;6118;61545;87128;2169;7245;63645;265;508;13765;91619
28002;SE;Carira;1358;5743;28817;7187;20329;1036;3799;35583;16562;16294;1350;3743;20526;38690;1520;3314;25038;41117;1129;3981;23669;181;269;8873;41149
28003;SE;Nossa Senhora das Dores;1948;5181;26074;8328;16038;1211;3641;33383;14390;15008;1865;3484;16880;34900;1780;3004;23726;37270;1168;3875;24075;142;203;8274;38874
28004;SE;Agreste de Itabaiana;2903;10072;64695;20295;40144;2260;7283;81179;36693;37437;3426;7386;42091;86271;3809;7291;48232;88909;2829;10167;44734;613;675;22828;90723
28005;SE;Tobias Barreto;2631;7837;46124;16287;26726;1375;5187;58471;40203;14020;2483;5574;36628;59336;2072;5025;39821;63316;1551;6348;39713;450;470;11680;66089
28006;SE;Agreste de Lagarto;2485;7693;45212;17765;23420;1927;5288;56150;30184;19007;2854;4800;30027;58176;3279;5868;38272;60717;1867;7143;37234;362;507;13475;63747
28007;SE;Propriá;2120;5807;39493;17070;18117;1494;4155;49525;25667;19715;2341;3712;27839;51280;2036;3476;34916;52714;1302;4378;33445;226;329;11043;52266
28008;SE;Cotinguiba;1254;2980;16922;5913;10108;719;2082;22027;10126;10085;1418;2170;11767;24026;1608;2351;15830;25490;941;3210;16095;118;210;5830;26366
28009;SE;Japaratuba;1678;3843;21804;8330;12308;863;2546;29264;14102;12395;1398;2438;18027;30866;1420;2194;21966;32284;886;2913;22129;83;234;5792;33103
