Abrangência;Cargo;Sexo;Qt Candidatos;Eleito;2º Turno;Não Eleito
ALTO TAQUARI;Vereador;Masculino;38;7;0;31
ALTO TAQUARI;Vereador;Feminino;20;2;0;18
ALTÔNIA;Vereador;Masculino;51;8;0;43
ALTÔNIA;Vereador;Feminino;28;1;0;27
ALTOS;Vereador;Masculino;73;13;0;60
ALTOS;Vereador;Feminino;33;0;0;33
ALUMÍNIO;Vereador;Masculino;74;8;0;66
ALUMÍNIO;Vereador;Feminino;38;1;0;37
ALVARÃES;Vereador;Masculino;57;7;0;50
ALVARÃES;Vereador;Feminino;18;2;0;16
ALVARENGA;Vereador;Masculino;19;8;0;11
ALVARENGA;Vereador;Feminino;9;1;0;8
ÁLVARES FLORENCE;Vereador;Masculino;24;6;0;18
ÁLVARES FLORENCE;Vereador;Feminino;11;3;0;8
ÁLVARES MACHADO;Vereador;Masculino;54;8;0;46
ÁLVARES MACHADO;Vereador;Feminino;29;1;0;28
ÁLVARO DE CARVALHO;Vereador;Masculino;35;9;0;26
ÁLVARO DE CARVALHO;Vereador;Feminino;15;0;0;15
ALVINLÂNDIA;Vereador;Masculino;24;8;0;16
ALVINLÂNDIA;Vereador;Feminino;13;1;0;12
ALVINÓPOLIS;Vereador;Masculino;62;10;0;52
ALVINÓPOLIS;Vereador;Feminino;33;1;0;32
ALVORADA;Vereador;Masculino;173;22;0;151
ALVORADA;Vereador;Feminino;81;4;0;77
ALVORADA DE MINAS;Vereador;Masculino;46;9;0;37
ALVORADA DE MINAS;Vereador;Feminino;25;0;0;25
ALVORADA DO GURGUÉIA;Vereador;Masculino;20;8;0;12
ALVORADA DO GURGUÉIA;Vereador;Feminino;9;1;0;8
ALVORADA DO NORTE;Vereador;Masculino;27;8;0;19
ALVORADA DO NORTE;Vereador;Feminino;13;1;0;12
ALVORADA DO OESTE;Vereador;Masculino;53;9;0;44
ALVORADA DO OESTE;Vereador;Feminino;27;2;0;25
ALVORADA DO SUL;Vereador;Masculino;50;9;0;41
ALVORADA DO SUL;Vereador;Feminino;23;0;0;23
AMAJARI;Vereador;Masculino;46;8;0;38
AMAJARI;Vereador;Feminino;23;1;0;22
AMAMBAI;Vereador;Masculino;57;13;0;44
AMAMBAI;Vereador;Feminino;26;0;0;26
